a	ഒന്ന്
assign	നിയോഗിക്കുക
assignment	നിയമനം
assist	സഹായിക്കുക
assistance	സഹായം
assistant	സഹായി
associate	അസോസിയേറ്റ്
association	അസോസിയേഷൻ
assume	അനുമാനിക്കുക
assumption	അനുമാനം
assure	ഉറപ്പുതരുന്നു
athlete	അത്ലറ്റ്
athletic	അത്ലറ്റിക്
atmosphere	അന്തരീക്ഷം
atom	ആറ്റം
attach	അറ്റാച്ചുചെയ്യുക
attack	ആക്രമണം
attempt	ശ്രമം
attend	പങ്കെടുക്കുക
attention	ശ്രദ്ധ
attitude	മനോഭാവം
attorney	അഭിഭാഷകൻ
attract	ആകർഷിക്കുക
attractive	ആകർഷകമായ
attribute	ആട്രിബ്യൂട്ട്
audience	പ്രേക്ഷകർ
author	രചയിതാവ്
authority	അധികാരം
auto	ഓട്ടോ
available	ലഭ്യമാണ്
average	ശരാശരി
avoid	ഒഴിവാക്കുക
award	അവാർഡ്
aware	അറിഞ്ഞിരിക്കുക
awareness	അവബോധം
away	ദൂരെ
awful	ഭയങ്കരം
baby	കുഞ്ഞ്
back	തിരികെ
background	പശ്ചാത്തലം
bad	മോശം
badly	മോശമായി
bag	ബാഗ്
bake	ചുടേണം
balance	ബാലൻസ്
ball	പന്ത്
ban	നിരോധനം
band	ബാൻഡ്
bank	ബാങ്ക്
bar	ബാർ
barely	കഷ്ടിച്ച്
barrel	വീപ്പ
barrier	തടസ്സം
base	അടിസ്ഥാനം
baseball	ബേസ്ബോൾ
basic	അടിസ്ഥാന
basically	അടിസ്ഥാനപരമായി
basis	അടിസ്ഥാനം
basket	കൊട്ടയിൽ
basketball	ബാസ്കറ്റ്ബോൾ
bat	ബാറ്റ്
bathroom	കുളിമുറി
battery	ബാറ്ററി
battle	യുദ്ധം
be	ആയിരിക്കും
beach	ബീച്ച്
bean	ബീൻ
bear	കരടി
beat	അടിച്ചു
beautiful	മനോഹരമായ
beauty	സൗന്ദര്യം
because	കാരണം
become	ആയിത്തീരുന്നു
bed	കിടക്ക
bedroom	കിടപ്പുമുറി
been	ആകുമായിരുന്നു
beer	ബിയർ
before	മുമ്പ്
began	തുടങ്ങി
begin	ആരംഭിക്കുന്നു
beginning	തുടക്കം
behavior	പെരുമാറ്റം
behind	പിന്നിൽ
being	ആണ്
belief	വിശ്വാസം
believe	വിശ്വസിക്കുക
bell	മണി
belong	ഉൾപ്പെടുന്നു
below	താഴെ
belt	ബെൽറ്റ്
bench	ബെഞ്ച്
bend	വളയ്ക്കുക
beneath	കീഴ്ഭാഗത്ത്
benefit	പ്രയോജനം
beside	അരികിൽ
besides	കൂടാതെ
best	മികച്ച
bet	പന്തയം
better	മെച്ചപ്പെട്ട
between	തമ്മിലുള്ള
beyond	അപ്പുറം
Bible	ബൈബിൾ
big	വലിയ
bike	ബൈക്ക്
bill	ബിൽ
billion	ബില്യൺ
bind	കെട്ടുക
biological	ജീവശാസ്ത്രപരമായ
bird	പക്ഷി
birth	ജനനം
birthday	ജന്മദിനം
bit	ബിറ്റ്
bite	കടിക്കുക
black	കറുപ്പ്
blade	ബ്ലേഡ്
blame	കുറ്റപ്പെടുത്തുക
blanket	പുതപ്പ്
blind	അന്ധൻ
block	തടയുക
blood	രക്തം
blow	തുക
blue	നീല
board	ബോർഡ്
boat	ബോട്ട്
body	ശരീരം
bomb	ബോംബ്
bombing	ബോംബിംഗ്
bond	ബോണ്ട്
bone	അസ്ഥി
book	പുസ്തകം
boom	ബൂം
boot	ബൂട്ട്
border	അതിർത്തി
born	ജനിച്ചു
borrow	കടം വാങ്ങുക
boss	മുതലാളി
both	രണ്ടും
bother	ശല്യപ്പെടുത്തുക
bottle	കുപ്പി
bottom	താഴെ
bought	വാങ്ങി
boundary	അതിർത്തി
bowl	പാത്രം
box	പെട്ടി
boy	ആൺകുട്ടി
boyfriend	കാമുകൻ
brain	തലച്ചോറ്
branch	ശാഖ
brand	ബ്രാൻഡ്
bread	അപ്പം
break	ഇടവേള
breakfast	പ്രഭാതഭക്ഷണം
breast	മുല
breath	ശ്വാസം
breathe	ശ്വസിക്കുക
brick	ഇഷ്ടിക
bridge	പാലം
brief	ചുരുക്കത്തിലുള്ള
briefly	ചുരുക്കത്തിൽ
bright	ശോഭയുള്ള
brilliant	മിടുക്കൻ
bring	കൊണ്ടുവരിക
British	ബ്രിട്ടീഷ്
broad	വിശാലമായ
broke	തകർത്തു
broken	തകർത്തു
brother	സഹോദരൻ
brought	കൊണ്ടുവന്നു
brown	തവിട്ട്
brush	ബ്രഷ്
buck	ബക്ക്
budget	ബജറ്റ്
build	പണിയുക
building	കെട്ടിടം
bullet	ബുള്ളറ്റ്
bunch	കൂട്ടം
burden	ഭാരം
burn	കത്തിക്കുക
bury	അടക്കം ചെയ്യുക
bus	ബസ്
business	ബിസിനസ്സ്
busy	തിരക്ക്
but	പക്ഷേ
butter	വെണ്ണ
button	ബട്ടൺ
buy	വാങ്ങാൻ
buyer	വാങ്ങുന്നയാൾ
by	വഴി
cabin	ചെറിയമുറി
cabinet	കാബിനറ്റ്
cable	കേബിൾ
cake	കേക്ക്
calculate	കണക്കുകൂട്ടുക
call	വിളി
came	വന്നു
camera	ക്യാമറ
camp	ക്യാമ്പ്
campaign	പ്രചാരണം
campus	കാമ്പസ്
can	കഴിയും
Canadian	കനേഡിയൻ
cancer	അർബുദം
candidate	സ്ഥാനാർത്ഥി
cap	തൊപ്പി
capability	കഴിവ്
capable	കഴിവുള്ള
capacity	ശേഷി
capital	മൂലധനം
captain	ക്യാപ്റ്റൻ
capture	പിടിച്ചെടുക്കൽ
car	കാർ
carbon	കാർബൺ
card	കാർഡ്
care	കെയർ
career	കരിയർ
careful	ശ്രദ്ധയോടെ
carefully	ശ്രദ്ധാപൂർവ്വം
carrier	കാരിയർ
carry	ചുമക്കുക
case	കേസ്
cash	പണം
cast	കാസ്റ്റ്
cat	പൂച്ച
catch	പിടിക്കുക
category	വിഭാഗം
Catholic	കത്തോലിക്കൻ
caught	പിടിക്കപെട്ടു
cause	കാരണം
ceiling	സീലിംഗ്
celebrate	ആഘോഷിക്കാൻ
celebration	ആഘോഷം
celebrity	സെലിബ്രിറ്റി
cell	സെൽ
cent	സെന്റ്
center	കേന്ദ്രം
central	കേന്ദ്ര
century	നൂറ്റാണ്ട്
CEO	സിഇഒ
ceremony	ചടങ്ങ്
certain	നിശ്ചയം
certainly	തീർച്ചയായും
chain	ചങ്ങല
chair	കസേര
chairman	ചെയർമാൻ
challenge	വെല്ലുവിളി
chamber	ചേംബർ
champion	ചാമ്പ്യൻ
championship	ചാമ്പ്യൻഷിപ്പ്
chance	അവസരം
change	മാറ്റം
changing	മാറ്റുന്നതിൽ
channel	ചാനൽ
chapter	അദ്ധ്യായം
character	സ്വഭാവം
characteristic	സ്വഭാവം
characterize	സ്വഭാവം
charge	ചാർജ്
charity	ചാരിറ്റി
chart	ചാർട്ട്
chase	പിന്തുടരുക
cheap	വിലകുറഞ്ഞ
check	ചെക്ക്
cheek	കവിൾ
cheese	ചീസ്
chef	പാചകക്കാരൻ
chemical	രാസവസ്തു
chest	നെഞ്ച്
chick	കോഴിക്കുഞ്ഞ്
chicken	കോഴി
chief	ചീഫ്
child	കുട്ടി
childhood	കുട്ടിക്കാലം
children	കുട്ടികൾ
Chinese	ചൈനീസ്
chip	ചിപ്പ്
chocolate	ചോക്ലേറ്റ്
choice	ചോയ്സ്
cholesterol	കൊളസ്ട്രോൾ
choose	തിരഞ്ഞെടുക്കുക
chord	കോർഡ്
Christian	ക്രിസ്ത്യൻ
Christmas	ക്രിസ്മസ്
church	ക്രിസ്ത്യൻ പള്ളി
cigarette	സിഗരറ്റ്
circle	വൃത്തം
circumstance	സാഹചര്യം
cite	ഉദ്ധരിക്കുക
citizen	പൗരൻ
city	നഗരം
civil	സിവിൽ
civilian	സിവിലിയൻ
claim	അവകാശം
class	ക്ലാസ്
classic	ക്ലാസിക്
classroom	ക്ലാസ് മുറി
clean	ശുദ്ധിയുള്ള
clear	തെളിഞ്ഞ
clearly	വ്യക്തമായി
client	കക്ഷി
climate	കാലാവസ്ഥ
climb	കയറുക
clinic	ക്ലിനിക്
clinical	ക്ലിനിക്കൽ
clock	ക്ലോക്ക്
close	അടയ്ക്കുക
closely	അടുത്ത്
closer	അടുത്തു
clothe	വസ്ത്രം
clothes	വസ്ത്രങ്ങൾ
clothing	ഉടുപ്പു
cloud	മേഘം
club	ക്ലബ്
clue	സൂചന
cluster	ക്ലസ്റ്റർ
coach	പരിശീലകൻ
coal	കൽക്കരി
coalition	കൂട്ടുകക്ഷി
coast	തീരം
coat	അങ്കി
code	കോഡ്
coffee	കോഫി
cognitive	വൈജ്ഞാനികം
cold	തണുപ്പ്
collapse	തകർച്ച
colleague	സഹപ്രവർത്തകൻ
collect	ശേഖരിക്കുക
collection	സമാഹാരം
collective	കൂട്ടായ
college	കോളേജ്
colonial	കൊളോണിയൽ
colony	കോളനി
color	നിറം
column	കോളം
combination	കോമ്പിനേഷൻ
combine	സംയോജിപ്പിക്കുക
come	വരൂ
comedy	കോമഡി
comfort	ആശ്വാസം
comfortable	സുഖപ്രദമായ
command	കമാൻഡ്
commander	കമാൻഡർ
comment	അഭിപ്രായം
commercial	വാണിജ്യ
commission	കമ്മീഷൻ
commit	പ്രതിബദ്ധത
commitment	പ്രതിബദ്ധത
committee	കമ്മിറ്റി
common	സാധാരണ
communicate	ആശയവിനിമയം നടത്തുക
communication	ആശയവിനിമയം
community	സമൂഹം
company	കമ്പനി
compare	താരതമ്യം ചെയ്യുക
comparison	താരതമ്യം
compete	മത്സരിക്കുക
competition	മത്സരം
competitive	മത്സരാധിഷ്ഠിത
competitor	എതിരാളി
complain	പരാതിപ്പെടുക
complaint	പരാതി
complete	പൂർത്തിയായി
completely	പൂർണ്ണമായും
complex	സങ്കീർണ്ണമായ
complicated	സങ്കീർണ്ണമായ
component	ഘടകം
compose	രചിക്കുക
composition	രചന
comprehensive	സമഗ്രമായ
computer	കമ്പ്യൂട്ടർ
concentrate	ഏകോപിപ്പിക്കുക
concentration	ഏകാഗ്രത
concept	ആശയം
concern	ആശങ്ക
concerned	ബന്ധപ്പെട്ട
concert	കച്ചേരി
conclude	നിഗമനം
conclusion	ഉപസംഹാരം
concrete	കോൺക്രീറ്റ്
condition	അവസ്ഥ
conduct	നടത്തുക
conference	സമ്മേളനം
confidence	ആത്മവിശ്വാസം
confident	ആത്മവിശ്വാസം
confirm	സ്ഥിരീകരിക്കുക
conflict	സംഘർഷം
confront	അഭിമുഖീകരിക്കുക
confusion	ആശയക്കുഴപ്പം
Congress	കോൺഗ്രസ്
congressional	കോൺഗ്രസ്
connect	ബന്ധിപ്പിക്കുക
connection	കണക്ഷൻ
consciousness	ബോധം
consensus	സമവായം
consequence	അനന്തരഫലം
conservative	യാഥാസ്ഥിതിക
consider	പരിഗണിക്കുക
considerable	ഗണ്യമായ
consideration	പരിഗണന
consist	ഉൾക്കൊള്ളുന്നു
consistent	സ്ഥിരതയുള്ള
consonant	വ്യഞ്ജനം
constant	സ്ഥിരമായ
constantly	നിരന്തരം
constitute	രൂപീകരിക്കുക
constitutional	ഭരണഘടനാപരമായ
construct	നിർമ്മിക്കുക
construction	നിർമാണം
consultant	കൺസൾട്ടന്റ്
consume	ഉപഭോഗം ചെയ്യുക
consumer	ഉപഭോക്താവ്
consumption	ഉപഭോഗം
contact	ബന്ധപ്പെടുക
contain	അടങ്ങിയിട്ടുണ്ട്
container	കണ്ടെയ്നർ
contemporary	സമകാലിക
content	ഉള്ളടക്കം
contest	മത്സരം
context	സന്ദർഭം
continent	ഭൂഖണ്ഡം
continue	തുടരുക
continued	തുടർന്ന
contract	കരാർ
contrast	ദൃശ്യതീവ്രത
contribute	സംഭാവന ചെയ്യുക
contribution	സംഭാവന
control	നിയന്ത്രണം
controversial	വിവാദമായി
controversy	വിവാദം
convention	കൺവെൻഷൻ
conventional	പരമ്പരാഗത
conversation	സംഭാഷണം
convert	മാറ്റുക
conviction	ബോധ്യം
convince	ബോധ്യപ്പെടുത്തുന്നു
cook	പാചകം
cookie	കുക്കി
cooking	പാചകം
cool	അടിപൊളി
cooperation	സഹകരണം
cop	പോലീസ്
cope	നേരിടാൻ
copy	കോപ്പി
core	കാമ്പ്
corn	ചോളം
corner	മൂല
corporate	കോർപ്പറേറ്റ്
corporation	കോർപ്പറേഷൻ
correct	ശരിയാണ്
correspondent	ലേഖകൻ
cost	ചെലവ്
cotton	പരുത്തി
couch	സോഫ
could	കഴിയുമായിരുന്നു
council	കൗൺസിൽ
counselor	ഉപദേഷ്ടാവ്
count	എണ്ണുക
counter	കൗണ്ടർ
country	രാജ്യം
county	കൗണ്ടി
couple	ദമ്പതികൾ
courage	ധൈര്യം
course	കോഴ്സ്
court	കോടതി
cousin	കസിൻ
cover	കവർ
coverage	കവറേജ്
cow	പശു
crack	പിളര്പ്പ്
craft	കരകൗശല
crash	തകര്ച്ച
crazy	ഭ്രാന്തൻ
cream	ക്രീം
crease	ക്രീസ്
create	സൃഷ്ടിക്കാൻ
creation	സൃഷ്ടി
creative	സൃഷ്ടിപരമായ
creature	ജീവി
credit	ക്രെഡിറ്റ്
crew	ജീവനക്കാർ
crime	കുറ്റകൃത്യം
criminal	ക്രിമിനൽ
crisis	പ്രതിസന്ധി
criteria	മാനദണ്ഡം
critic	വിമർശകൻ
critical	നിർണായകമാണ്
criticism	വിമർശനം
criticize	വിമർശിക്കുന്നു
crop	വിള
cross	കുരിശ്
crowd	ആൾക്കൂട്ടം
crucial	നിർണായകമായ
cry	കരയുക
cultural	സാംസ്കാരിക
culture	സംസ്കാരം
cup	കപ്പ്
curious	കൗതുകകരമായ
current	കറന്റ്
currently	നിലവിൽ
curriculum	പാഠ്യപദ്ധതി
custom	കസ്റ്റം
customer	ഉപഭോക്താവ്
cut	മുറിച്ചു
cycle	ചക്രം
dad	അച്ഛൻ
daily	ദിവസേന
damage	കേടുപാടുകൾ
dance	നൃത്തം
danger	അപായം
dangerous	അപകടകരമായ
dare	ധൈര്യം
dark	ഇരുട്ട്
darkness	ഇരുട്ട്
data	ഡാറ്റ
date	തീയതി
daughter	മകൾ
day	ദിവസം
dead	മരിച്ചു
deal	ഇടപാട്
dealer	ഡീലർ
dear	പ്രിയ
death	മരണം
debate	സംവാദം
debt	കടം
decade	ദശാബ്ദം
decide	തീരുമാനിക്കുക
decimal	ദശാംശം
decision	തീരുമാനം
deck	ഡെക്ക്
declare	പ്രഖ്യാപിക്കുക
decline	ഇടിവ്
decrease	കുറയുന്നു
deep	ആഴത്തിൽ
deeply	ആഴത്തിൽ
deer	മാനുകൾ
defeat	പരാജയം
defend	പ്രതിരോധിക്കുക
defendant	എതൃകക്ഷി
defense	പ്രതിരോധം
defensive	പ്രതിരോധം
deficit	കമ്മി
define	നിർവ്വചിക്കുക
definitely	തീർച്ചയായും
definition	നിർവ്വചനം
degree	ഡിഗ്രി
delay	കാലതാമസം
deliver	എത്തിക്കുക
delivery	ഡെലിവറി
demand	ആവശ്യം
democracy	ജനാധിപത്യം
Democrat	ഡെമോക്രാറ്റ്
democratic	ജനാധിപത്യപരമായ
demonstrate	പ്രകടിപ്പിക്കുക
demonstration	പ്രകടനം
deny	നിഷേധിക്കുക
department	വകുപ്പ്
depend	ആശ്രയിക്കുന്നത്
dependent	ആശ്രിത
depending	ആശ്രയിക്കുന്നത്
depict	ചിത്രീകരിക്കുക
depression	വിഷാദം
depth	ആഴം
deputy	ഡെപ്യൂട്ടി
derive	ഉത്ഭവിക്കുക
describe	വിവരിക്കുക
description	വിവരണം
desert	ഏകാന്ത
deserve	അർഹിക്കുന്നു
design	ഡിസൈൻ
designer	ഡിസൈനർ
desire	ആഗ്രഹം
desk	ഡെസ്ക്ക്
desperate	നിരാശ
despite	ഉണ്ടായിരുന്നിട്ടും
destroy	നശിപ്പിക്കുക
destruction	നാശം
detail	വിശദമായി
detailed	വിശദമായ
detect	കണ്ടുപിടിക്കുക
determine	നിർണ്ണയിക്കുക
develop	വികസിപ്പിക്കുക
developing	വികസിക്കുന്നു
development	വികസനം
device	ഉപകരണം
devote	സമർപ്പിക്കുക
dialogue	ഡയലോഗ്
dictionary	നിഘണ്ടു
did	ചെയ്തു
die	മരിക്കുക
diet	ഭക്ഷണക്രമം
differ	വ്യത്യാസമുണ്ട്
difference	വ്യത്യാസം
different	വ്യത്യസ്ത
differently	വ്യത്യസ്തമായി
difficult	ബുദ്ധിമുട്ടുള്ള
difficulty	ബുദ്ധിമുട്ട്
dig	കുഴിക്കുക
digital	ഡിജിറ്റൽ
dimension	അളവ്
dining	ഡൈനിംഗ്
dinner	അത്താഴം
direct	നേരിട്ട്
direction	സംവിധാനം
directly	നേരിട്ട്
director	സംവിധായകൻ
dirt	അഴുക്ക്
dirty	അഴുക്കായ
disability	വികലത
disagree	വിയോജിക്കുന്നു
disappear	അപ്രത്യക്ഷമാകുന്നു
disaster	ദുരന്തം
discipline	അച്ചടക്കം
discourse	പ്രഭാഷണം
discover	കണ്ടെത്തുക
discovery	കണ്ടെത്തൽ
discrimination	വിവേചനം
discuss	ചർച്ച ചെയ്യുക
discussion	ചർച്ച
disease	രോഗം
dish	വിഭവം
dismiss	പിരിച്ചുവിടുക
disorder	ക്രമക്കേട്
display	പ്രദർശിപ്പിക്കുക
dispute	തർക്കം
distance	ദൂരം
distant	അകലെ
distinct	വ്യത്യസ്തരായ
distinction	വ്യത്യാസം
distinguish	വേർതിരിച്ചറിയുക
distribute	വിതരണം ചെയ്യുക
distribution	വിതരണ
district	ജില്ല
diverse	വൈവിധ്യമാർന്ന
diversity	വൈവിധ്യം
divide	വീതിക്കുക
division	ഡിവിഷൻ
divorce	വിവാഹമോചനം
DNA	ഡി.എൻ.എ
do	ചെയ്യുക
doctor	ഡോക്ടർ
document	പ്രമാണം
does	ചെയ്യുന്നു
dog	നായ
dollar	ഡോളർ
domestic	ആഭ്യന്തര
dominant	പ്രബലമായ
dominate	ആധിപത്യം സ്ഥാപിക്കുക
don’t	ചെയ്യരുത്
done	ചെയ്തു
door	വാതിൽ
double	ഇരട്ട
doubt	സംശയം
down	താഴേക്ക്
downtown	ഡൗൺടൗൺ
dozen	ഡസൻ
draft	കരട്
drag	വലിച്ചിടുക
drama	നാടകം
dramatic	നാടകീയമായ
dramatically	നാടകീയമായി
draw	വരയ്ക്കുക
drawing	ഡ്രോയിംഗ്
dream	സ്വപ്നം
dress	വസ്ത്രധാരണം
drink	പാനീയം
drive	ഡ്രൈവ് ചെയ്യുക
driver	ഡ്രൈവർ
drop	ഡ്രോപ്പ്
drug	മരുന്ന്
dry	വരണ്ട
duck	ഡക്ക്
due	കാരണം
during	സമയത്ത്
dust	പൊടി
duty	കടമ
each	ഓരോന്നും
eager	ആകാംക്ഷയോടെ
ear	ചെവി
early	നേരത്തേ
earn	സമ്പാദിക്കുക
earnings	വരുമാനം
earth	ഭൂമി
ease	അനായാസം
easily	എളുപ്പത്തിൽ
east	കിഴക്ക്
eastern	കിഴക്ക്
easy	എളുപ്പമാണ്
eat	കഴിക്കുക
economic	സാമ്പത്തിക
economics	സാമ്പത്തികശാസ്ത്രം
economist	സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ
economy	സമ്പദ്
edge	അഗ്രം
edition	പതിപ്പ്
editor	എഡിറ്റർ
educate	അഭ്യസിപ്പിക്കുന്നത്
education	വിദ്യാഭ്യാസം
educational	വിദ്യാഭ്യാസപരമായ
educator	അധ്യാപകൻ
effect	ഫലം
effective	ഫലപ്രദമായ
effectively	ഫലപ്രദമായി
efficiency	കാര്യക്ഷമത
efficient	കാര്യക്ഷമമായ
effort	പരിശ്രമം
egg	മുട്ട
eight	എട്ട്
either	ഒന്നുകിൽ
elderly	പ്രായമായവർ
elect	തിരഞ്ഞെടുത്തു
election	തിരഞ്ഞെടുപ്പ്
electric	വൈദ്യുത
electricity	വൈദ്യുതി
electronic	ഇലക്ട്രോണിക്
element	ഘടകം
elementary	പ്രാഥമിക
eliminate	ഇല്ലാതെയാക്കുവാൻ
elite	വരേണ്യവർഗം
else	വേറെ
elsewhere	മറ്റൊരിടത്ത്
e-mail	ഇ-മെയിൽ
embrace	പുണരുക
emerge	ഉദിക്കുക
emergency	അടിയന്തരാവസ്ഥ
emission	ഉദ്വമനം
emotion	വികാരം
emotional	വികാരപരമായ
emphasis	ഊന്നിപ്പറയല്
emphasize	പ്രാധാന്യം നൽകി
employ	നിയമിക്കുക
employee	ജീവനക്കാരൻ
employer	തൊഴിലുടമ
employment	തൊഴിൽ
empty	ശൂന്യമാണ്
enable	പ്രാപ്തമാക്കുക
encounter	ഏറ്റുമുട്ടൽ
encourage	പ്രോത്സാഹിപ്പിക്കുന്നു
end	അവസാനിക്കുന്നു
enemy	ശത്രു
energy	ർജ്ജം
enforcement	നടപ്പാക്കൽ
engage	ഇടപഴകുക
engine	എഞ്ചിൻ
engineer	എഞ്ചിനീയർ
engineering	എഞ്ചിനീയറിംഗ്
English	ഇംഗ്ലീഷ്
enhance	വർദ്ധിപ്പിക്കുക
enjoy	ആസ്വദിക്കൂ
enormous	വലിയ
enough	മതി
ensure	ഉറപ്പുവരുത്തുക
enter	പ്രവേശിക്കുക
enterprise	എന്റർപ്രൈസ്
entertainment	വിനോദം
entire	മുഴുവൻ
entirely	പൂർണ്ണമായും
entrance	പ്രവേശനം
entry	പ്രവേശനം
environment	പരിസ്ഥിതി
environmental	പരിസ്ഥിതി
episode	എപ്പിസോഡ്
equal	തുല്യ
equally	തുല്യ
equate	തുല്യമാക്കുക
equipment	ഉപകരണങ്ങൾ
era	യുഗം
error	പിശക്
escape	എസ്കേപ്പ്
especially	പ്രത്യേകിച്ചും
essay	ഉപന്യാസം
essential	അത്യാവശ്യം
essentially	അടിസ്ഥാനപരമായി
establish	സ്ഥാപിക്കുക
establishment	സ്ഥാപനം
estate	എസ്റ്റേറ്റ്
estimate	എസ്റ്റിമേറ്റ്
etc	തുടങ്ങിയവ
ethics	നീതിശാസ്ത്രം
ethnic	വംശീയ
European	യൂറോപ്യൻ
evaluate	വിലയിരുത്തുക
evaluation	മൂല്യനിർണ്ണയം
even	പോലും
evening	വൈകുന്നേരം
event	സംഭവം
eventually	ഒടുവിൽ
ever	എന്നേക്കും
every	ഓരോ
everybody	എല്ലാവരും
everyday	എല്ലാ ദിവസവും
everyone	എല്ലാവരും
everything	എല്ലാം
everywhere	എല്ലായിടത്തും
evidence	തെളിവ്
evolution	പരിണാമം
